Home offset is 0
theta0 (Initial angle from Home) is (deg) 35.494
angle from Home(deg)	angle from theta0(deg)	photocurrent
72.9	108.394	0.00010652
73.0	108.494	0.0001066
73.1	108.594	0.000106883333333333
73.2	108.694	0.00010653
73.3	108.794	0.00010624
73.4	108.894	0.000107053333333333
73.5	108.994	0.000106023333333333
73.6	109.094	0.000106433333333333
73.7	109.194	0.00010674
73.8	109.294	0.000106956666666667
73.9	109.394	0.000106703333333333
74.0	109.494	0.000106113333333333
74.1	109.594	0.000106446666666667
74.2	109.694	0.000106403333333333
74.3	109.794	0.00010671
74.4	109.894	0.000106563333333333
74.5	109.994	0.00010631
74.6	110.094	0.0001062
74.7	110.194	0.000106273333333333
74.8	110.294	0.00010633
74.9	110.394	0.00010625
75.0	110.494	0.000106733333333333
75.1	110.594	0.00010657
75.2	110.694	0.000106176666666667
75.3	110.794	0.000106156666666667
75.4	110.894	0.000106223333333333
75.5	110.994	0.000106303333333333
75.6	111.094	0.000106273333333333
75.7	111.194	0.000106186666666667
75.8	111.294	0.000106326666666667
75.9	111.394	0.000106106666666667
76.0	111.494	0.000105963333333333
76.1	111.594	0.0001062
76.2	111.694	0.00010639
76.3	111.794	0.000106116666666667
76.4	111.894	0.00010591
76.5	111.994	0.00010573
76.6	112.094	0.000105906666666667
76.7	112.194	0.000105566666666667
76.8	112.294	0.000105243333333333
76.9	112.394	0.000105416666666667
77.0	112.494	0.000105313333333333
77.1	112.594	0.000105393333333333
